Location,Address,Estimated Price,Style of Home,Developer,Units,Construction,Storeys,Features,Features Incl,Views,Nearby Parks,Nearby Amenities,Total Parking,Storage,Fine Print
Terrace House - Coal Harbour,1250 West Hastings Street,TBA,Condos,Port Living,20,hybrid concrete timber,19,"Hybrid structure, outdoor living space, exclusive location.",,Ocean / city,Stanley Park,"Shops, restaurant, shopping, and more",,,
Terraces 3 in the heart of Langley,19760 55 Avenue,,3 Bedroom Townhouses,Brydon Projects Ltd.,56,,,"Forced air heating, rough-ins for air conditioning, 9' ceilings",Quartz countertops and stainless steel whirlpool appliances,,Brydon Park,"Schools, Grocery stores, Willowbrook Shopping Centre, Langley Regional Airport, City of Langley Library",,,
Terraces at Oak Park | Vancouver West Side Townhomes,Oak St & West 59th Ave,"Starting from $869,900",Townhouse,Vanwell Homes,31,,2- & 2.5-storey buildings,,"1-3 BED townhomes, ranging from 481 – 1,403 sf",Oak Park,Oak Park,Walking distance to top-rated schools; Marpole Oakridge Community Centre; YVR airport; Langara Golf Course; River Rock Casino; Richmond shopping & restaurants,1 level of underground parking + private double garages for select homes,Extra private storage available,
Terraces at the Peak at SFU by Intergulf,8940 University Crescent,,,Intergulf Development Group,117,Concrete,13,Nearby trails,,Howe Sound and Burrard Inlet,,"Simon Fraser University, UniverCity",,,
Terrazzo in Abbotsford,31158 Westridge Pl,,Condo,Bianco Developments Ltd.,70,Woodframe,6,Scandinavian-style solarium balcony with retractable Lumon glass for year-round use,"9′ ceilings on floors 1-5, 10′ ceilings on top floor",,Townline Hill Park,"Shopping, dining, schools and amenities",,,
Tesoro By Concert | South East False Creek,Quebec St,,Condo & Townhouse,Concert Properties,92,,,,2-3 BED condos or townhomes,False Creek waterfront,"Creekside Park, Hinge Park, Thorton Park","Shops, restaurants & services of Main St; Creekside Community Rec Centre; Science World; Granville Island amenities; BC Place; Several bars & lounges",155 underground parking spaces,,
The Ambrose on Hawthorne,2389 Hawthorne Avenue,,Condo,Quorus Properties,28,,4,2 traffic lights and 22 minutes to Vancouver,,,"Just down the street from two manicured, multi-acre parks",Steps from the nature trails along the beautiful Coquitlam River Habitat,,,
The Anchor - A Boutique Community in Lower Lonsdale,"131 3rd Street East, North Vancouver","Starting at $389,900",Condos,Kamcon Construction and BT Investments,56,Concrete,7,Rooftop Patio,,City Views from some homes,"Waterfront Park, Victoria Park",Everything,"1 parking for all homes, except penthouses","Yes, Included in Purchase Prce",
The Arbutus,Arbutus and W 13th,,Condo,Origin Properties,20,Concrete,4,,,,Arbutus Greenway Park,"Schools, Boutique Shops, Coffee Shops, Restaurants, Kitsilano Community Centre, Markets",,,
The Arc Condos (EN/CN),88 Pacific Boulevard,TBD - Sign up to learn more before anyone else!,,Concord Pacific,,,,,,,,,,,
The Arc by Concord Pacific in Yaletown,998 Pacific Avenue,TBD - Sign up to learn more before anyone else!,,Concord Pacific,620 units,,2 towers at 28 and 30-storeys,3 skybridges connecting the towers,,,,,,,
The Arden,"1990 Westminster Ave, Port Coquitlam","1 Bedrooms Starting high 200's, 1+ den, low 300's, 2 bedroom 1 bathroom Mid 300's",Cond0,Fairwind Homes,22,wood,4,larger homes,,,Gates Park,"shopping, entertainment, west coast express",,,
The BELMONT at Heritage by Infinity Properties,"22084 Fraser Hwy, Langley","$399,900-$599,900",Condominiums,Infinity Properties,66,,4,"1-3 Bedroom, 717-1424sqft, 9' Ceilings, Oversized Windows, Large Balconies, Available AIR-Conditioning",,,,"Shopping, Schools, Transit, Hospital, Parks, Golf, Restaurants",,180 cu.ft. Locker,
The BROOKS at Langley by Apex,"19913 70 Ave, Langley, BC",Resale - Contact us for availability.,Townhouse,Apex Custom Homes,101,Wood frame,3,"Backing onto community park, radiant floor heating, tankless hot water on demand, play areas, built green under the Energuide rating",,,Yes,"Hospital, Golf, Schools, Shopping, Community Centre",,,
The Beresford in Burnaby,Beresford St & Gilley Ave,"Starting from $685,500",Townhouse,Southseas Development,17,,3,,"3-3.5 bedroom homes, ranging from 1097 - 1220 sf",,BC Parkway & Highland Park Line Trails; Byrne Creek Ravine Park & Trails; Deer Lake Park & Trails,"Minutes from Metropolis at Metrotown - 400+ stores, restaurants, services and movie theatre; Close to Edmonds Community Centre & Burnaby Public Library",Underground parkade,,
"The Bevan | Sidney, Victoria",Bevan Ave,"$499,000 to $849,000",Condo,Alan Lowe Architect Inc.,21,,5,,"1–3 bedrooms, ranging from 894 – 1,470 square feet - select with generous private patios",Waterfront,"Beacon Park, Iroquois Park","Steps to parks, shops, restaurants, water sports and the waterfront promenade",1,1,
The Breeze in Squamish,39771 Government Road,,Townhouse,Target Homes,72,,,"Oversized windows to create super bright, sunshine-filled homes","Extra-high, nine-foot ceilings on the main level make your home feel even larger",,Edgewater Park,"Live within a sporting paradise full of kite boarding, hiking, climbing, biking and paddling; easy access to the Sea to Sky Highway",,,
The Bromley | Vancouver's West Side,Columbia St & West 41st Ave,,Townhouse,Bogner Group,40,Woodframe,,,"3 BED townhomes either 2 or 4 stories, ranging from 1,461 – 2,267 sf + private patios for select suites",,"Queen Elizabeth Park, Oak Meadows Park & VanDusen Garden","Oakridge Centre shops, restaurants & conveniences; Queen Elizabeth Park shops, restaurants & services; numerous schools k-12; Hillcrest Community Centre & sport fields",1 level of underground parking,Yes,
The Butterfly-Luxury Residential Tower by Bing Thom,1019 Nelson St,,High Rise,Westbank,294,Concrete,56,open garden courts,,,Nelson Park,,417,,
The Charleson by Onni - A New Presale Condo in Yaletown,1396 Seymour Street,"$979,000+","standard floor plans call for 3 suites per floor, but customization available to create 1 or 2 suites per floor",Onni,90 -100 condo homes (uncertainty due to the fact that custom joining of suites is possible),,43 Floors,"large balconies with gas, water, and electricity",,,"walking distance to George Wainborn Park, David Lam Park, and the Seawall",,,,
The City of Lougheed,9855 Austin Ave,"Started at $329,900",condos,Shape Developments,500+,concrete,20-56,Master Planned community,,no,coquitlam park,"shopping, entertainment, nature, skytrain",yes,yes,
The Conservatory By Polygon At UBC,Brenton Ave,,Condo + Townhouse,Polygon Homes,211,,20,,"1-, 2- & 3-bedroom condos, ranging from 615 - 1,523 sf & 4 X 1,884 sf townhomes",Stunning views of nature,Pacific Spirit Regional Park,"Top-ranked schools, UBC Farm farmers market, UBC Botanical Garden, Nitobe Japanese Garden, Museum of Anthropology and Wesbrook Village restaurants, cafés, grocers & conveniences",3 levels of underground parking,,
"The Corners In Clayton Central, Surrey",188 St & 72 Ave,,Condo + Townhouse,RDG Management,167,,5,,"1, 2 & 3 bedroom homes, ranging from 1,345 - 1,688 sf",,Clayton Park Community Garden & Off-Leash Dog Park,"Hazelgrove Park playground, basketball & tennis courts; Willowbrook Shopping Centre & several restaurants in the area; Close to a few elementary and secondary schools; Clayton Community Centre",1 level underground parkade + 2-car garages,,
The Creek by Concert Properties in False Creek,95 East 1st Avenue,,"1-,2-,3-bedroom homes",Concert Properties,750 over 5 towers,Concrete,,unobstructed views of False Creek,,unobstructed views of False Creek,a large waterfront park,,,,
The Crescent on McRae - Shaughnessy Townhomes by Arthur Bell Holdings Ltd.,1486 MacRae Avenue,"$1,678,900+",,Arthur Bell Holdings Ltd,15 townhomes in two gentle arcs,,,"custom interiors by Mona Foreman of award-winning Sheffield Design Studio, imported Italian hardwood flooring, overheight and coffered ceilings for a generously spacious living space, private elevators in select homes",,,,,private garages,,
The District Townhomes | Vernon,15 Avenue,,Townhouse,Okanagan Parkview Properties,48,,2,,"2-level, 3-bedroom townhomes, from 1302-1540 sf",,"Lakeview Park, Justice Park","Parks, schools, shops & more",Yes,Yes,
The Edge in Abbotsford,2632 Pauline Street,,Condo,Parcel7 Homes,44,,5,1 -to- 3 bedroom layouts,,,Jubilee Park,Steps from Historic Downtown Abbotsford,,,
The Five Points,"711 14TH ST W, NORTH VANCOUVER","from $269,900",condos,Regency,44,wood,4,Multi-Purpose Room with Bike tools,,,Mosquito Creek,"shopping, entertainment, nature, ski hill",,yes,
The Gables at Nelson Park,1152 COMOX ST,,,Vandwell Developments,Exclusive collection of 6 homes,,,2/5/10 WBI Home Warranty,"Fully integrated security system including security cameras monitoring the entire property, 24 hour DVR recording with mobile access anywhere in the world",,Nelson Park,"Downtown Sushi Bar, Cazba Restaurant, Stepho’s Souvlaki Greek Taverna, La Belle Patate, Thai Basil Restaurant, Starbucks, Shoppers Drug Mart, West End Farmers Market and more",,,
The Georgia by Whitetail Homes at Langley,20702 Eastleigh Crescent,,Condos,Whitetail Homes,194,,5,"Just steps from the locally owned shops, boutiques and restaurants of charming Downtown Langley",,,Derek Doubleday Arboretum,"Shopping, restaurants, parks, evening entertainment and schools",,,
The Grand at Willow Creek,27358 32 Ave,,Condo,Apex Western Homes i,47,,,movies at the Twilight Drive-in Theatre,"15-minute drive to Lynden, USA border crossing",,new Community Centre with arena & water park,"Willow Creek Equestrian Centre, Greater Vancouver Zoo, Fraser Highway shops & services, Community Centre with arena & water park",,,
The Grande By Onni Group,"301 Capilano Road, Port Moody","Starting from $563,900",Condos,Onni Group,220,Concrete,26,,"1-, 2-, & 3-bedroom condos, ranging from 600 to over 2,100 sf",,Rocky Point Park,"Rocky Point Park & trails; Shops, restaurants, breweries & services of Port Moody",,,
The Granville by Aoyuan Property on Vancouver's Westside,2301 Granville St,,Condos,Aoyuan Property Group,41,Concrete,8,,,Fairview,Granville Loop Park,"Restaurants, entertainment, schools, pharmacies, public transportation, Granville Island",48 residential vehicle stalls and 15 commercial stalls,,
The Grayson Vancouver - 58 New Homes along the Cambie Corridor,Cambie Street and West 26th,,"1-, 2-, and 3-bedroom condo and townhome homes",Pennyfarthing Homes,58 Homes,Concrete Construction,,Great Views,,,Near Queen Elizabeth Park,,,,
The Grey Vancouver in West Point Grey,3639 W 16th Ave,,two­-bedroom to three-­bedroom plus den homes,Westland,29,Concrete Low-rise,4-storey mixed use,,,,Pacific Spirit Regional Park,near some of Vancouver’s finest schools,"Most homes will come with two parking stalls, also a limited number of additional parking stalls will be available for purchase",Each residence comes with one storage locker.,
The Grove In Burnaby,Willingdon & Dawson,,Condo & Townhouse,Aoyuan Property Group,"1,600",,,,"5 towers: 1-, 2-, and 3-bedroom condos & rental apartments",,Proposed 1.14 acre city park,"Brentwood Town Centre shopping, Central Valley Greenway",Yes + EV charging,,
The Guildford Homes at Towncentre -Tangerine Developments,"15380 102a Ave, Surrey",1 bedroom from mid $200's 2 bedroom from mid $300's,,Tangerine Developments,,,,"Cutting Edge Appliances, Quartz Counter-tops,",,,,Guildford Town Centre,,,
The HARVEST by Platinum Group,"16488 64th Ave, Surry","$449,900 to over $629,900.",,Platinum,222,,,,,,,,,,
The Haro in Cordova Bay,5120-5144 Cordova Bay Road,,Condo,Architecture by Acclaimed Alan Lowe Architect,86,,4,Three Custom Curated Schemes by Jenny Martin Design,Elegant Master Bedrooms with Spacious Walk-In Closet,Ocean Views,Cordova Bay Park,"doorstep access to a Vibrant, Amenity-Rich Village with Local Shops and Services; only steps from the Beach and Local Walking Trails",324 Underground Parking with Electric Vehicle Charging Capabilities,,
The Heights on Austin by Beedie Living in Coquitlam,1033 Austin Avenue,,condo,Beedie Development Group,356,,"26-, 27-",towers flanking new Safeway supermarket,,,Blue Mountain Park,"Vancouver Golf Club, Lougheed Town Shopping Centre, Blue Mountain Park",741 proposed vehicle spaces,,
The Henley in Langley,20115 53A Ave,,Condo,Redekop Kroeker,48 market condominiums,Woodframe,4 storey,9′ ceilings,Peace and privacy—sound limiting walls and ceilings come standard in every home,,,"Local brewpub, cidery, wineries, Newlands Golf and Country Club",One parking stall is included per home and 26 bicycle spaces,,
The Hillcrest On Vancouver's West Side,King Edward & Columbia,,Condo & Townhouse,Vertex Developments,17,Woodframe,,,"1-, 2- & 3-bedroom condos & stacked townhomes, ranging from 557 - 1,205 sf",,Queen Elizabeth Park,"Oakridge Centre Shopping; Hillcrest Park & Community Centre; Queen Elizabeth Park & Nat Bailey Stadium; Main Street cafés, restaurants, shops & conveniences",1 level underground parking,,
The Holland by Townline | Surrey City Centre,Old Yale Road,,Condos,Townline,248,,25,,1 & 2 bedroom suites + exclusive number of townhomes,Greenery of Holland Park,Holland Park,"Steps from Central City Shopping, restaurants & recreation",Underground parking,1,
The Hollywood Residences in Kitsilano,3133 W Broadway,,Condos,4184 Investments,40,Concrete,6,restoration & operation of Hollywood Theatre,,,Connaught Park,"Restaurants, entertainment, schools, pharmacies, theatre",43,,
The Independent at Main by Rize - A New Condo in Mount Pleasant,285 East 10th Avenue,TBA,"1, 2, 3-bedroom homes",Rize Alliance Properties,258 Units,,21 Storeys,"unique 23,000 sq ft ‘backyard’ (shared outdoor/indoor space)",,,,,,,
The Ivy on Dunbar - Westside RENTAL HOMES,"4275 Dunbar Street, Vancouver, BC",,"1, 2, 3-bedroom homes",TBT Ventures Limited Partnership,50 Units,,4 Storeys,1000sf rooftop decks,,,,Stong's grocery store at street level,,,
The Jervis by Intracorp - The West End's Newest Condo Project,1177 Jervis,,All 2 bedrooms and all corner units,Intracorp,62,Concrete,19,Each home will be anchored by a large outdoor covered terrace and have AC,,,Blocks from Sunset Beach,,All units come with parking,,
The KENSINGTON at Willoughby Town Centre by Qualico / Chow & Li,"20678 Willoughby Town Centre Drive, Langley",,,Chow & Li and Qualico,65,,4,"High Ceilings, Large Patios, Designer Interiors",,,,"Shopping, Schools, Transit",,,
The Kerrisdale Gardens Pre-Construction Homes at West 40th Avenue & West Boulevard,2128 West 40th Avenue,,,Altus Group,27 spacious and elegant homes,,,"generous dining spaces perfect for entertaining, 9-foot ceilings, stylish interiors by Riesco & Lapres",,,,located in the heart of the upscale and walkable community of Kerrisdale,,,
The Kirkland Vancouver in Kerrisdale by Bogner,"6168 East Blvd, Vancouver, BC V6M 3V6",,2 and 3 bedroom style homes,Bogner,20 high end units,Concrete,5,private balconies & grand terraces,,,,"boutique shops, top class restaurants, both public and private schools",46,,
"The Landing | Lake Country, Okanagan Valley",Rogers Road,"Starting from $514,900",Townhouse,Corwest Builders and Troika Management,25,,,,2- & 3-bedroom townhomes w/ rooftop terrace,"Lake, mountains & nature",Beasley Park,"Lakes, parks, trails, restaurants, cafés, wineries, schools, shopping, recreational activities & short drive to amenities in Kelowna",2,Yes,
The Latest Presale to Hit the Cambie Corridor - Parc 26 Vancouver,4139 Cambie Street,,condos and townhomes,Dava Developers,65,concrete,6-storeys,,,,,,,,
The Leveson Vancouver - Granville Street's Latest Luxury Residences,Granville and West 62nd,Starting from the mid-300s,Luxury Condo Homes,Coromandel Properties,40 homes,Wood Frame,4 storeys,Air Conditioning,,,,,,,
The Links Residences in Surrey,152 Street,,Townhomes,Infinity Properties,55,,,,,,Surrey Lake Park,"Shops, Golf Club, schools, and parks",2,,
The Lloyd at Windsor Gate - Master Planned Community by Polygon Homes in Coquitlam Town Centre,3096 Windsor Gate,,,Polygon,,Concrete Highrise,26,,,"Mountain, City","Glen Park, Westwood Park, Coquitlam River Trail, Lafarge Lake, Town Centre Park, Hoy Creek, Ozada Park, Inspiration Garden","Coquitlam Library, Evergreen Cultural Centre, City Centre Aquatic Complex, Glen Pine Pavillion, Percy Perry Stadium, Pipeline Bike Park, Coquitlam Tennis Club",,,
The Main in Squamish,37881 Cleveland Avenue,,Condo,Gravitas,110,Wood/ Concrete,6,Balconies offering views of the Squamish River valley available with every suite,"Energy efficient, stainless steel kitchen appliance package including:over-the-range microwave/ hoodfan combination, super capacity dishwasher, top mount fridge, and self-clean range with built-in oven and ceramic glass system",Squamish River valley,Junction Park & U Siyam Pavillion,"Stawamus Chief Provincial Park, Home Depot, Rona, Save-On Foods, Canadian, Tim Hortons, White Spot, Sushi Sen Japanese, Chef Big D's and more",,,
The Maplewoods | Vernon BC,5th Ave & 24th Street,,Single Family Homes,Whitstone Developments,,,,,High quality design & finishes,Mountains,,,Yes,Yes,
The Marq At UBC,UBC,,Condo,Westland Living,22,,4,,"2-3 bedroom homes, ranging from 830 - 1,010 sf",Beautiful view of the university,Jim Everett Memorial Park,"University of British Columbia campus amenities; West Point Grey neighbourhood amenities; University Gold Club; Pacific Spirit Regional Park, UBC Botanical & Nitobe gardens; West 10th Avenue shopping; Spanish Banks Beach",2 levels of underground parking,,
The Mercer by Cressey - Modern Urban Living Is Coming to Vancouver's Iconic Commercial Drive,3470 Commercial Drive,"One Bedroom homes starting from $300,000.",,Cressey Developments Group,48,,,,,,John Hendry Park,Trout Lake Community Centre,,,
The Morrison Townhomes - North Vancouver,"643 East 3rd Street, North Vancouver",tbd,townhomes,Creo Developments and Haebler Group,40,Wood,3,Goal of LEED Gold certification,Part of a sustainably-designed community,,Keith Lynn Park & Tilford Gardens,"Capilano University, Grouse Mountain, Spirit Trail",,,
The News Urban Homes in Abbotsford,34375 Gladys Avenue,,Condo,Elevate Development Corp,282,,6,"Lofty 9’ ceilings, enclosed balconies and flex spaces",,,Lonzo Creek Park,"Save on Foods, BC Liquor Store, Boston Pizza, The Keg, Tim Hortons and more",,,
The Oak + Park - New in Marpole,Oak St & Park Dr,Low $900 thousands and above,3-bed and den townhomes,Alabaster Homes,40,,,White brick and shingle exterior combined with black wrought iron detailing,,,Oak Park,"Schools, parks, library and restaurants on Granville",Details will be forthcoming,Awaiting details,
The Oaks West Coquitlam,Clarke Road,,Condo,Strand,,,6,"Over half an acre of courtyards, greenways, and outdoor spaces","More than 28,000 sq. ft. of private indoor & outdoor amenities",,"Naheeno Park, Miller Park","10 minute walk to Burquitlam SkyTrain Station; minutes to Lougheed Town Centre, SFU, and Port Moody.",,,
The One Presale Condo by Pinnacle in Southeast False Creek,88 West 1st Avenue,"Starting from under $400,000",Condos and Townhouses,Pinnacle International,215,,12,,,,"Hinge Park, Creekside Park",,,,
The Onyx at Mahogany,2120 Gladwin Road,,Condo,Quantum Properties,87,,4,10’ ceilings,,,Mill Lake Park,"Godson Elementary School, Abbotsford Middle School, St Ann's Catholic Church, Abbotsford Senior Secondary School and more",,,
The Oxley Vancouver - Commercial Drive Townhomes Coming Soon,1647 East Pender,,2- and 3-bedrooms,Epix Developments,10,Wood Frame Construction,,,,,,,,,
The Paramount in Richmond,6340 No 3 Rd,,Condo,Keltic Canada Development,536 market residential units,,three 15-storey residential towers,across from Richmond Centre Mall,,,walking distance to Minoru Park,,856 vehicles,,
The Park - Metrotown,4700 Imperial Street,"starting at $330,900",condos,Intergulf,300,concrete,37,"rooftop patio, wellness centre",,"yes, Mountain, lake views",Central park,"shopping, golf, skiing, kayaking",,,
The Parker Vancouver by Townline,305 W 41st Ave,,,Townline,49 1-2-3 bedroom homes,Concrete Low-rise,6,Air conditioned,,,,"Oakridge mall, Safeway. BC Liquor",67,storage for 61 bicycles,
The Peak at Mulgrave Park: Prestigious Condo Living in the British Properties,"2728 Highview Place, West Vancouver",2.5+,cond,British Pacific Properties,14,concrete,6,,,"yes, ocean, gulf islands, city",,"shopping, skiing, walking trails, schools",2,yes,
The Pearl Residences in Victoria,1628 Store Street,,Condo,Farmer Group,133,,8,"The waterside suites offer views of the sculptural Johnson Street Bridge and working harbour, and access to the David Foster Harbour Pathway.",Lustrous steel and concrete architecture by D’Ambrosio Architecture + Urbanism,,,"Shopping, Food&Drink, Arts & Entertainment",Secured parking available underground and secured bike storage,Individual storage lockers,
The Peninsula in New Westminster,210 Salter St,,"Mix of condos, lofts, townhomes",Aragon Properties,163,,22,Rooftop terraces with river & mountain views,Beside Queensborough River Trail,,Short walk to Port Royal Park & Community Garden,5-minute drive to Queensborough Landing shops & services,,,
The RailYards in Victoria,The Railyards Community,,"Condo, Townhouse",Le Fevre and Company Property Agents,,,,Waterfront living,,,Victoria West Park,"School, Art Studio, Restaurant, shop",,,
The Regent at King Edward - A Courtly Condo Concept,523 W King Edward Avenue,,"Condos, four and two-story townhomes",Regent International,66,Concrete,,,,,"Braemar, Douglas, Hillcrest, Queen Elizabeth Park","Botanical Garden, Bloedel Conservatory, Library, Shopping, Restaurants, Nat bailey Stadium",44 below-ground parking stalls and extra provisions made for ample bike storage,Additional details about storage space are not yet available.,
The Residences at Lynn Valley by Bosa,1280 E. 27th Street.,starting at 800 per square foot,,Bosa,393,Concrete/Wood,,,,Mountains,Lynn Canyon,"Golfing, skiing, shopping, dining, swimming",599,,
The Residences by Polygon at UBC Nobel Park,3533 Ross Drive,,,Polygon,146 suites and 26 townhomes,,,Wesbrook Village location beside UBC Farm,,,Nobel Park,UBC Botanical Garden & Nitobe Japanese Garden,386 vehicle stalls,,
The Residences on Marine - West Vancouver,"1327 Marine Drive, West Vancouver",TBD,Condo,Atti Group,16,Concrete,3,"5,165 sq ft of commercial space",,,Ambleside Park,,38,,
The Residences on Sooke Harbour,1820 Maple Avenue South,,Condo,Fitzpatrick Enterprises,27,,4,Oversized glass-enclosed decks & patios,Launch your kayak from your doorstep,Ocean views from every suite,,"Enjoy fishing or scuba diving in the nearby waters, go hiking in East Sooke Park or along Juan De Fuca Trail, numerous beaches are just a short drive along the coast",An underground parkade provides secure gated vehicle parking and storage for bicycles & kayaks.,,
The Ridge | Maple Ridge,Burnett St,,Condo,Mortise Group of Companies,54,,5,State of the art counter-weight elevator system w/ fast & safe transport,"1 & 2 bedroom suites, ranging from 690 - 1,000 sf",City views from rooftop terrace,"Kanaka Creek Regional Park & Crystal Falls, Golden Ears Provincial Park","A block from shops, restaurants and services of Valley Fair Mall; Multiple schools, playgrounds & parks",Underground parkade,,
The Roderick in Steveston Village | Richmond,Third Ave & Moncton,,Condo & Townhouse,Platform Properties Ltd.,32,,,,2 - 4 BED homes w/ a rooftop deck or patio terrace - some have both!,"North Shore mountains, Vancouver Island, Mount Baker",Steveston Community Park,,2-level underground parkade,Yes,
The Sentinel by Denna in West Vancouver,200 Klahanie Court,,Condo,Denna Homes,122,Concrete,26-storey residential building,LEED Gold,"2-3 BED homes w/ air conditioning, high efficiency windows, high speed elevators & much more","Downtown, Lions Gate Bridge, Burrard Inlet & North Shore Mountains.","Klahanie Park, Ambleside Park","Park Royal Shopping Centre, Steve Nash Fitness, Parks, Grouse Mountain, Restaurants, Capilano River, Ambleside Park & the ocean",198 + EV charging available in every stall,Yes,
The Smithe - By Boutique Developer Boffo,225 Smithe,,"1, 2, 3-bedroom boutique apartments and penthouse units",Boffo,107,,26,,,City Views,"Yaletown Park, Cooper's Park on the Seawall","There is nothing you won't find in this area. From unbelievable restaurant selection and abundant nightlife to the main branch of the Vancouver Public Library. Also close to False Creek and the Sea Wall, BC Place and Science World.",,,
The Spot - A New Vancouver Presale Condo on Cambie Street,2806 Cambie Street,,from studio to 3-bedroom homes available,Shato Holdings Inc.,160,,8,mixed use development (residential/commercial),,,,,,,
The Stanton at 2095 West 43rd Avenue in Upscale Kerrisdale,2095 W 43rd Avenue,,,Bogner,17,Concrete,4,,,,Elm Park,"Kerrisdale Community Centre, library, parks, shops, restaurants",27 underground parking stalls for residents and retail clientele,Details regarding storage space are not yet available,
The Terraces by Waterstock,5501 @ 5509 198St Langley,,Townhouse,Waterstock,28,,,,,,"Langley City Park, Brydon Park","Willowbrook Shopping Mall, Langley Crossing Shopping Centre",,,
The Thurlow in Downtown Vancouver,1080 Burnaby Street,,"1, 2 and 3 bedroom",Intracorp,96,,32,,,"English Bay, Stanley Park, Downtown Skyline and the North Shore mountains","Sunset Beach Park, Nelson Park","English Bay, Equinox, St. Pauls Hospital, Stanley Park, Sunset Beach, Vancouver Aquatic Center",,,
The Trails Townhomes in Lower Lonsdale,Moodyville/Lower Lonsdale North Vancouver,TBD,Townhomes/Duplex,Wall Financial,300+,Wood,3-4,"Private Garages, Master-Planned Community, Master Ensuite Heated Floors",,,,"Lonsdale Quay, Spirit Trail, Downtown Vancouver",Private double-car garage,,
The VAULTS in Kelowna,Kelowna's Airport Business Park,,Condo,The VAULTS Development Group,19,,,"Canada's leading secured, luxury storage condominiums","27' ceilings w/ mezzanine space + 3-piece bathroom, ranging from 1,677 sf to over 4,600 sf",,,Quick access to Kelowna International Airport & Highway 97,Customizable,Customizable,
The Views by the Janda Group - Coal Harbour Presale Condo,1250 W Hastings Street,"$819,000+","mix of condominium & townhomes, development features 3 spectacular penthouses",Janda Group,27 luxury units – CUSTOMIZABLE!,,15 storeys,"project spearheaded by Janda Group, sizes range from 817-3281 sq ft",,,,,,,
The WEX by RDG,"20829 77A AVENUE, LANGLEY BC","230,000 - 399,000",,RDG,94,,,"1 Bedroom & 2 + Flex Urban Condos, 614 - 900 sqft, 1 Year FREE Telus TV & Internet",,,,,,,
The Wesley on Brydon Creek,5483 Brydon Crescent,,Condo,Whitetail Homes,78,,5,"local brewpub, cidery, wineries",,,,5-minute drive to Willowbrook Mall; near Newlands Golf and Country Club,115 vehicle parking spaces,,
"The Wilfred | Squamish, BC",Dowad Dr,"From $445,000",Condo,W. Dowad Ltd.,37,,4,"13,000 sf retail space","1-, 2- & 3-bedrooms, ranging from 669 – 1,615 sf",Nature,Brackendale Eagles Provincial Park,"Several schools, grocers & services; Squamish Valley Golf & Country Club; Endless outdoor activities & sports",Ground & underground parking + EV charging,Bike storage,
The Windsor at Norquay Village,2425 Kingsway,,,Imani,126,Concrete,12,,,"Views of the downtown skyline, North Shore Mountains and beyond.",,,154,,
The Wohlsein Vancouver - A New Mount Pleasant Presale Condo,311 East 6th Avenue,"$248,900+",Condos,Jameson Development,110 units,Concrete Building by Jameson Development,6 Floors,Original styles and interior finishings,,Spectacular mountain views,Guelph Park,,,,
Toppen Ridge - Moodyville,"557 East 3rd, North Vancouver",TBD,Townhomes. Live/work,Formwerks,24,wood,3,Live/Work Townhomes,,no,"Waterfront, Moodyville Park","shopping, lonsdale quay, parks, skiing",,,
Touchstone at Gospel Rock | Gibsons,Chaster Rd & Shaw Rd,,,Greenlane Homes,,,,Built at the historical Gospel Rock,"Condos: studios, 1-3 bedrooms + patio; Townhomes: 2-4 bedroom + den + patio/yard; Single Family Homes: wide range of sizes","Howe Sound, the North Shore mountains & the Salish Sea.","Secret Beach Park, Dougall Park","Local cafes, restaurants & services at Touchstone Plaza; recreational activities at Touchstone Inn; several pathways/trails + scenic sites",Yes,Yes,
Tower Green at WEST in SE False Creek,195 W 2ND Avenue,"$289,900+",,Executive Group Development,177 condo homes,,,,,,,"over 43,000 square feet of retail space and restaurants planned",,,
Townsend at Panorama Ridge,Edmund Drive & Panorama Drive,"From $649,900",Townhouse,Polygon family of companies,44,,,,"3- & 4-bedrooms, bright open main living areas with overheight ceilings",,"Goldstone Park, Sullivan Park","Panorama Village shopping/restaurants/services, Tong Louie YMCA recreation, Crescent Beach, Northview Golf & Country Club",Yes,Yes,
Trails in Squamish,Main St & Third Ave,,,Harbourview Project Inc.,,,,Conveniently located hose bibs in rear yard and Sky Lounge,Curtain wall stair railing glass allowing for natural light,Ocean and mountain views,,"Shoppers Drug Mart, Corsa Cycles, Save on Foods, Home Depot, Zephyr Cafe, Rupert, Sea to Summit Trail",Oversized garages,,
Tree House by British Pacific Properties,Cypress Bowl Road,,Condo,British Pacific Properties,37,,11-storey & 12-storey,900 metres from the future Cypress Village,,panoramic ocean views,,,74,,
Trellis Townhomes in Port Coquitlam,1818 Harbour St,,Townhouse,Quantum Properties,17,,,The Trellis Townhomes are 2 traffic lights and 22 minute drive from Vancouver,,,Kroeker Park,"Restaurants, shops, schools, parks, Pitt River, Pub and more",Plenty of storage space. Enclosed garages with extra driveway parking,,
Tresah In Victoria,Speed & Frances,,Condo + Townhouse,Mike Geric Construction,245,Woodframe,12-storey & 6-storey,,"Studio, 1 & 2 bedroom homes",,Topaz Park,"Mayfair Shoppping Centre, Burnside Gorge Community Centre, Topaz Park sports fields, Galloping Goose Regional Trail",1 level underground parkade,,
